TestsAffected, AS, LocationCode, Start, End, URL
14, AS20015, sacl, 2013-03-01, 2019-04-01, https://viz.measurementlab.net/location/sacl?aggr=month&isps=AS20015&start=2012-03-01&end=2019-04-01
14, AS48249, eu, 2013-03-01, 2016-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS48249&start=2012-03-01&end=2016-09-01
15, AS15770, eugb, 2014-01-01, 2016-12-01, https://viz.measurementlab.net/location/eugb?aggr=month&isps=AS15770&start=2013-01-01&end=2016-12-01
15, AS855, nacansbaddeck, 2013-01-01, 2016-11-01, https://viz.measurementlab.net/location/nacansbaddeck?aggr=month&isps=AS855&start=2012-01-01&end=2016-11-01
16, AS20549, eu, 2015-06-01, 2018-10-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS20549&start=2014-06-01&end=2018-10-01
16, AS32459, na, 2012-10-01, 2018-07-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS32459&start=2011-10-01&end=2018-07-01
16, AS5692, saar, 2016-07-01, 2018-05-01, https://viz.measurementlab.net/location/saar?aggr=month&isps=AS5692&start=2015-07-01&end=2018-05-01
16, AS852, nacaqcsaint-anselme, 2012-08-01, 2018-01-01, https://viz.measurementlab.net/location/nacaqcsaint-anselme?aggr=month&isps=AS852&start=2011-08-01&end=2018-01-01
17, AS11486x, nausmahyannis, 2012-03-01, 2016-07-01, https://viz.measurementlab.net/location/nausmahyannis?aggr=month&isps=AS11486x&start=2011-03-01&end=2016-07-01
17, AS32459, na, 2013-01-01, 2019-03-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS32459&start=2012-01-01&end=2019-03-01
17, AS34397, assa14, 2013-05-01, 2016-11-01, https://viz.measurementlab.net/location/assa14?aggr=month&isps=AS34397&start=2012-05-01&end=2016-11-01
18, AS16253, eu, 2014-06-01, 2018-12-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS16253&start=2013-06-01&end=2018-12-01
18, AS25227, euru, 2013-08-01, 2016-03-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS25227&start=2012-08-01&end=2016-03-01
18, AS35359, euit, 2012-11-01, 2017-09-01, https://viz.measurementlab.net/location/euit?aggr=month&isps=AS35359&start=2011-11-01&end=2017-09-01
18, AS51200, eu, 2016-08-01, 2019-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS51200&start=2015-08-01&end=2019-02-01
18, AS60459, eu, 2013-04-01, 2019-01-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS60459&start=2012-04-01&end=2019-01-01
19, AS15742, euua, 2013-09-01, 2019-01-01, https://viz.measurementlab.net/location/euua?aggr=month&isps=AS15742&start=2012-09-01&end=2019-01-01
19, AS2546, eugr, 2015-02-01, 2018-07-01, https://viz.measurementlab.net/location/eugr?aggr=month&isps=AS2546&start=2014-02-01&end=2018-07-01
19, AS26674, naustx, 2011-10-01, 2015-06-01, https://viz.measurementlab.net/location/naustx?aggr=month&isps=AS26674&start=2010-10-01&end=2015-06-01
19, AS31863, nausnc, 2014-05-01, 2018-09-01, https://viz.measurementlab.net/location/nausnc?aggr=month&isps=AS31863&start=2013-05-01&end=2018-09-01
19, AS34676, eu, 2012-12-01, 2017-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS34676&start=2011-12-01&end=2017-02-01
19, AS39153, euru, 2013-04-01, 2017-02-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS39153&start=2012-04-01&end=2017-02-01
